"constraint_name","table_name","column_name","foreign_table_name","foreign_column_name"
fk_mbb5vcfbo3pkun9avh0wv9jui,afhd_ac_trans_link,cnt_turnover_id,count_turnover,id
fk_idr1kxgk6ahwqx4cv90phcbsb,afhd_ac_trans_link,consolidation_obj_id,sys_object,id
fk_nkopps0ati93fhsptyoiawtpp,afhd_ac_trans_link,copy_source_ac_tr_l_id,afhd_ac_trans_link,id
fk_5dqjnetn8a4v2809uu7uf2278,afhd_ac_trans_link,obj_owner_id,sys_object,id
fk_dbdi9wpj68d24pad5enx7l4qe,application_obj,afp_state_id,sys_state,id
fk_t3va7bl7ofndorx4df7wgwrj5,application_obj,emp_id,sys_employee,id
fk_nd7qmf7s9ri5kybaksndyxnnj,application_obj,initiator_id,sys_object,id
fk_n1gnkor6efqvr8g0cjh45h9gj,application_obj,scp_business_segment,business_segment,id
fk_ehn5ahdo0u1wen7g2ywwvsaqy,application_obj,scp_tech_ctredit,scp_dict_tech_ctredit,id
fk_kpus64yu8b6latch4xwaop10l,corp_tech_application,afp_state_id,sys_state,id
fk_5ren7aodid9e4ob8cxjd868hy,corp_tech_application,auto_check_status,sys_state,id
fk_sc3k1cpn9pchmdacmtu6s1j37,corp_tech_application,ca_rout_office_id,offices_psb,id
fk_2ct8d6pg5ade1w152v0mfm8fn,corp_tech_application,collat_initiator_id,sys_employee,id
fk_e2lpku1myp6gqdpnt37mw7ibb,corp_tech_application,credit_logic_id,scp_techcred,id
fk_7pl3b2s2y9hfx0hsvkq6weh19,corp_tech_application,deleg_region_id,dict_div_presence,id
fk_jpgdoo9i65rjx2h3pb6abq2p7,corp_tech_application,emp_id,sys_employee,id
fk_ft0xp12q9pl7y1t39resgl1t,corp_tech_application,exp_fa_office_id,offices_psb,id
fk_f6s0pmhp71oscugreg5u8vlac,corp_tech_application,iniciator_emp_id,sys_employee,id
fk_ii572mys8l4jddpsc357ettxt,corp_tech_application,initiator_id,sys_company,id
fk_g9id8k17fjr91db05yowdfwqd,corp_tech_application,interm_file_storage,fs_file,id
fk_ng8ibowbpbt0os1ia7kw5l4hh,corp_tech_application,resp_cond_coord,sys_employee,id
fk_if4bkoxqcexhx722bkfr14mw4,corp_tech_application,scp_arm_manager_id,sys_employee,id
fk_pqp98rjnbwc4il3r0yrb1lnba,corp_tech_application,scp_business_segment,business_segment,id
fk_qyqyeuvdra5hdbvu2a5ud1vdw,corp_tech_application,scp_cheif_cm_id,sys_employee,id
fk_jlk2ffhpx1bbi5jdqha6ngc42,corp_tech_application,scp_tech_ctredit,scp_dict_tech_ctredit,id
fk_52cjyjcugbnuotog1pi9nidle,count_turnover,correct_type,tbs_type,id
fk_5ggruuce9k4lgh7x45fqgk7ly,count_turnover,link_cnt_owner,sys_company,id
fk_cr3c2jfx2ytd29c74ckbmc38c,count_turnover,link_cred_doc_tur,sys_object,id
fk_kuleme3kfhfl0p966rxotcb6m,count_turnover,link_load_val_id,sys_object,id
fk_7mvba4bhf2ej2bba9ymgq192n,count_turnover,link_partic_gr,sys_object,id
fk_o8e1wl1mtkfyvlibq5t732b1x,count_turnover,parent_link_count,count_turnover,id
fk_6tjx4ky0bgxjxh8nuxebru61,credit_contract,afp_state_id,sys_state,id
fk_c80fp4nbicgxno2923e00gwgu,credit_contract,link_customer_id,sys_company,id
fk_oe7tmxx94jkrcgnop01hp5rnb,credit_contract,sys_employee_id,sys_employee,id
fk_apxjjhp88n52lpsjxky3cswt0,dict_product,attr_business_segment,business_segment,id
fk_nx0ai6iuseikead4aowe0uts9,fs_file,ff_parent_object,sys_object,id
fk_ovr70so815rvug3o5n4r6o66x,ic_application,afp_state_id,sys_state,id
fk_68yu5lx5n0oyblnmci94w7lcr,ic_application,app_obj_id,application_obj,id
fk_a9xfelvpvcovwxftp6hfgh8na,ic_application,credit_logic_id,scp_techcred,id
fk_csb4cysxxb0qowje25jg79fim,ic_application,curator_head_id,sys_employee,id
fk_by97bsn2w39tefpjjd5igdnpa,ic_application,deleg_region_id,dict_div_presence,id
fk_mpeuhv7s0248percwyfdrch2f,ic_application,emp_id,sys_employee,id
fk_cctfln62482hqw95qju2w3yyx,ic_application,initiator_id,sys_object,id
fk_h0d1ai3977f4fb07gwfqfaw60,ic_application,resp_cond_coord,sys_employee,id
fk_81j6905tkw7j0j6yi7mbs64cy,ic_application,scp_arm_manager_id,sys_employee,id
fk_k2t7c10u3m4hmdoa3w38rn5bi,ic_application,scp_business_segment,business_segment,id
fk_ls2rc6uer4cpb07iwrfa62h6t,ic_application,scp_tech_ctredit,scp_dict_tech_ctredit,id
fk_2pd3uw4b0o9pc76ijd5nh7es2,mler_application,afp_state_id,sys_state,id
fk_qlnygi4gvnl0oajg1n7logvak,mler_application,app_product_id,dict_product,id
fk_kdwrc9y3v9mefudddg3u2m7ls,mler_application,chief_initiator_id,sys_employee,id
fk_rni0n6irya1djylkobn4csiwo,mler_application,credit_logic_id,scp_techcred,id
fk_jqgdyoufjkxblgjwqlttc2huw,mler_application,deleg_region_id,dict_div_presence,id
fk_idhr63vbk4nbay2r3e9itqan4,mler_application,emp_id,sys_employee,id
fk_ltrd1rvvs9h8ucygb6xt1b798,mler_application,execut_admin_id,sys_employee,id
fk_ol7gf9xomokn1eqmka3i4ebqf,mler_application,initiator_id,sys_company,id
fk_s65jcc4tck0s87wik1kt6qh8h,mler_application,mler_signer_id,sys_employee,id
fk_r7oxjfx42ub4lrxg4wb8m9f0s,mler_application,scp_business_segment,business_segment,id
fk_sqtynl8skd029bhblflb4pyn8,mler_application,scp_cheif_cm_id,sys_employee,id
fk_gco3ljl89si7oeeh8qe6lb1yl,mler_application,scp_tech_ctredit,scp_dict_tech_ctredit,id
fk_rh9xjii8soru7liew3uek3wwp,ms_0golbfqyrdq4im6jf6ajivwy9,id,scp_gov_program_dict,id
fk_64855qkylmial0klooct1rhyf,ms_0golbfqyrdq4im6jf6ajivwy9,obj_id,business_segment,id
fk_of32tgpl85rr0csff2h2u7xkc,ms_0n8ohjyx7oszo6a47ca9g0s6f,id,corp_tech_application,id
fk_e9r51rqo5fgxg1yigusjl5l2w,ms_0n8ohjyx7oszo6a47ca9g0s6f,obj_id,sys_state,id
fk_jcatpma5gf3sty766xlvnvhsa,ms_0oc5mpme8nklimjy77sai9gf1,id,scp_prod_comm_dict,id
fk_srj1fieltod523a2jd3o632s,ms_0oc5mpme8nklimjy77sai9gf1,obj_id,dict_product,id
fk_j5bkevnwd9rduces4n7mph6tb,ms_1fd5jp86pabxu9na4knwphvyr,id,scp_gov_program_dict,id
fk_8apo5tm8hvc29ydbyc92r4jen,ms_1fd5jp86pabxu9na4knwphvyr,obj_id,dict_product,id
fk_ob4ivqcjg4ns5x0402ivtd7pe,ms_333s6j5jn97srp008gyi3zueo,id,mler_application,id
fk_n2pf7h0i21ybys5a4nh5x8kp3,ms_333s6j5jn97srp008gyi3zueo,obj_id,sys_state,id
fk_beeikyx21bqu8mgyh2evsmlit,ms_39qrctc1n8efr9axiukjssgzl,id,scp_prod_comm_dict,id
fk_mvg288gv2kyqul4xywy2q6vkn,ms_39qrctc1n8efr9axiukjssgzl,obj_id,type_loan,id
fk_scfqpbqkdsp9labyw7pcnhfw2,ms_64cm5ded37z58x0fyt5lgvhc7,id,scp_dict_rsc_office,id
fk_7bi4v1ydpwovgfci3f5vbaaxt,ms_64cm5ded37z58x0fyt5lgvhc7,obj_id,offices_psb,id
fk_iqg8q8yl19ifx34x28y6cdf3w,ms_965j58mgwkpomnuooc29dlq9f,id,scp_gov_program_dict,id
fk_su5vfan7juqf8ujjlr2p62dfb,ms_965j58mgwkpomnuooc29dlq9f,obj_id,scp_techcred,id
fk_bbayxn6q15jt803kxvamb9epf,ms_9k60rv4p0oaf3c702f2l1gj77,id,scp_gov_program_dict,id
fk_5rok9758f4wcxqig4e23mki0u,ms_9k60rv4p0oaf3c702f2l1gj77,obj_id,scp_dict_tech_ctredit,id
fk_djx70nbdxx0b4im5lm973hgxf,ms_d1oakp9uq175ak3dbhpzbu81d,id,application_obj,id
fk_rbq967cehgdo173pd1rbld9y,ms_d1oakp9uq175ak3dbhpzbu81d,obj_id,sys_state,id
fk_q5tgcepdq2tjdam37ff81ohn0,ms_dlggiqkhqj46rhq1lrgryim7c,id,dict_product,id
fk_md19td1hdaoy8uod0jklr8vfx,ms_dlggiqkhqj46rhq1lrgryim7c,obj_id,scp_techcred,id
fk_a5i48b63rg91dnlel9mquxe2j,ms_dxsh6488ihf77xmsd43dwby6k,id,scp_application,id
fk_79mkl8vgafp6kw0di7g3lis9w,ms_dxsh6488ihf77xmsd43dwby6k,obj_id,sys_state,id
fk_syimokm26is1x38np0xkbhwpu,ms_e5lum3lbateqhx8wkgtstxdf9,id,dict_product,id
fk_kcw6ildjg1rlqovhw4kbgjjw2,ms_e5lum3lbateqhx8wkgtstxdf9,obj_id,scp_dict_tech_ctredit,id
fk_kyx8ju19g3dkq23wl0r4da83l,offices_psb,org_company,sys_company,id
fk_ao19vf7462msbiu7i0u96umtn,offices_psb,rout_office_id,offices_psb,id
fk_fnbu2x0i1erbhtnb1e6e2534t,participant_app,app_obj_id,application_obj,id
fk_fl47h2rglvkkgn0ecaes78lu3,participant_app,app_obj_person_conn_id,application_obj,id
fk_3ha9hu5s0ui1np1m1dg8xcb4f,participant_app,borrower_id,sys_company,id
fk_29nqxwa62g7xpjxe9pivv8g9j,participant_app,emp_appeal_id,sys_employee,id
fk_rfkk4p87mak9a8wk472f0nosr,participant_app,obj_owner_id,sys_object,id
fk_nbquwcg7ulqf5cp1o1j2ggoh9,participant_app,particip_sec_id,scp_part_sec_expertise,id
fk_9ewehetyfsabhs75tbcei7ky1,prod_change_params,link_card_obj_id,sys_object,id
fk_pefgg75fxdjamqnng3ai0s01m,prod_change_params,product_pricing_id,product_pricing,id
fk_7u6yplg9cmyx4naoa3i6bdopq,prod_commissions,link_card_obj_id,sys_object,id
fk_nh408a6590v6tswsohplrgk32,prod_commissions,prod_comm_dict_id,scp_prod_comm_dict,id
fk_ejr1vbkc7wbdep9u9qq9r34ik,prod_guarantees,link_card_obj_id,sys_object,id
fk_jd99inlxv936whb39xk13mifj,prod_guarantees,prod_guarant_dict_id,scp_prod_guarant_dict,id
fk_sqatpqma9ylusik3aaq0nj6q2,product_pricing,amdp_parent_product_id,scp_amd_product,id
fk_3w31p9i42xcb4updymp1nu9pg,product_pricing,app_product_id,dict_product,id
fk_i23ux3dfcv9i2xa35lc9q82xy,product_pricing,owner_object_id,sys_object,id
fk_cq1w7qrw7umpxl68p44vh5tly,product_pricing,product_pricing_id,product_pricing,id
fk_kraibsf8rswob5r9gvdn2cpok,product_pricing,type_loan_id,type_loan,id
fk_gi4jml5g0tngrqjh48txtem0c,scp_amd_product,amd_prod_link_id,scp_amd_product,id
fk_n3cr8uh4mthwjqx6jbfl5jts2,scp_amd_product,amdp_parent_product_id,scp_amd_product,id
fk_7gt9j7tdkw8ps3p97strsmj2q,scp_amd_product,app_product_id,dict_product,id
fk_daxlx9nia3x9ue9rrn46vvgy2,scp_amd_product,draft_dec_id,scp_decision_quest,id
fk_gd5fd9tp8x5vvrj4m35cocnuk,scp_amd_product,loan_type_afhd_id,type_loan,id
fk_7o3efgtvjvfc3clakpu83qo4e,scp_amd_product,loan_type_id,type_loan,id
fk_c2caeoruus3j0bg4iv7g08qgt,scp_amd_product,test_amd_proj_link,scp_project_ans,id
fk_rtg3vu9tek0pv49k4i9ky4387,scp_application,afp_state_id,sys_state,id
fk_ra8n7fk6j2ccxeu3g5whbl25v,scp_application,auto_check_status,sys_state,id
fk_4tb38kh4rtupxkx44wn9fgk2q,scp_application,ca_rout_office_id,offices_psb,id
fk_24iy1hu42tnh941ixaiut4xtg,scp_application,credit_logic_id,scp_techcred,id
fk_nm7lvw1a2l6ig52li098v14cf,scp_application,curator_head_id,sys_employee,id
fk_mqpsv868tlr00vat4ypwrbunw,scp_application,deleg_region_id,dict_div_presence,id
fk_70x3dr1f5c2l9tx4lhy8j5aoo,scp_application,emp_id,sys_employee,id
fk_n9e6r3jhywjchpq7qd9wrhmix,scp_application,initiator_id,sys_company,id
fk_oge3jrs85k3wof3jr8092i3p3,scp_application,interm_file_storage,fs_file,id
fk_frpnbchofbiqbtj0k8b22l2ry,scp_application,lending_tech_id,scp_dict_tech_ctredit,id
fk_5wqy8d4r02rwwo71n1kj0rjkh,scp_application,resp_cond_coord,sys_employee,id
fk_ry7wev9acl725ipt9glcfu9m4,scp_application,scp_arm_manager_id,sys_employee,id
