"Таблица","№","Поле","Тип","Описание"
afhd_ac_trans_link,1,id,bigint,Код
afhd_ac_trans_link,2,obj_owner_id,bigint,Ссылка на объект владелец
afhd_ac_trans_link,3,transaction_id,bigint,Ссылка на операцию
afhd_ac_trans_link,4,source_row_id,bigint,Статья (базовая)
afhd_ac_trans_link,5,reclass_row_id,bigint,Статья (реклассификация)
afhd_ac_trans_link,6,dummy_row_id,bigint,Статья (фиктивная)
afhd_ac_trans_link,7,debit_credit_id,bigint,Дебет/Кредит
afhd_ac_trans_link,8,comp_sign_id,bigint,Арифметический знак
afhd_ac_trans_link,9,form_inst_id,bigint,Экземпляр формы отчетности
afhd_ac_trans_link,10,form_section_id,bigint,Раздел формы отчетности
afhd_ac_trans_link,11,consolidation_obj_id,bigint,Ссылка на объект консолидации
afhd_ac_trans_link,12,statem_trans_id,bigint,Ссылка на транзакцию
afhd_ac_trans_link,13,multiply_val,numeric,Мультипликатор
afhd_ac_trans_link,14,account_date,timestamp without time zone,Дата для учета
afhd_ac_trans_link,15,after_amount,numeric,Сумма для учета (консолидация)
afhd_ac_trans_link,16,before_amount,numeric,Сумма для учета (декомпозиция)
afhd_ac_trans_link,17,is_excepted,smallint,Исключен
afhd_ac_trans_link,18,is_intragroup,smallint,ВГО
afhd_ac_trans_link,19,is_psb_trans,smallint,Операция проведена в ПСБ?
afhd_ac_trans_link,20,copy_source_ac_tr_l_id,bigint,Ссылка на источник копирования
afhd_ac_trans_link,21,link_turnover,bigint,Ссылка на проводку по контрагенту
afhd_ac_trans_link,22,tbs_item_id,bigint,"Ссылка на проводку ""Прочие субконто"""
afhd_ac_trans_link,23,multiplicator_sign_id,bigint,Арифметический знак мультипликатора
afhd_ac_trans_link,24,link_calc_turn_log_id,bigint,Ссылка на связь расчета и ОСВ
afhd_ac_trans_link,25,okved_activity_id,bigint,Вид деятельности (по ОКВЭД)
afhd_ac_trans_link,26,vat,numeric,НДС
afhd_ac_trans_link,27,balance_type_id,bigint,Тип сальдо
afhd_ac_trans_link,28,account_num_id,bigint,Номер счета
afhd_ac_trans_link,29,link_cnt,bigint,Контрагент из проводки
afhd_ac_trans_link,30,cnt_count,character varying,Контрагент
afhd_ac_trans_link,31,contragent_name,character varying,Контрагент унифицированное название
afhd_ac_trans_link,32,is_clean_apply,smallint,Применяется очистка внутригрупповых операций
afhd_ac_trans_link,33,cnt_turnover_id,bigint,"Ссылка на проводку ""Субконто счет"""
afhd_ac_trans_link,34,vat_calc,numeric,"Ставка НДС (для Выручки, расчетная)"
afhd_ac_trans_link,35,link_turnover_reserv,bigint,"Ссылка на проводку ""Субконто контрагенты"" (для логики резервов)"
afhd_ac_trans_link,36,report_date,timestamp without time zone,Дата отчетности
afhd_ac_trans_link,37,discount,numeric,Дисконт
afhd_ac_trans_link,38,cr_id,bigint,Ссылка на КЗ (полный анализ)
alembic_version,1,version_num,character varying,
application_obj,1,id,bigint,ID
application_obj,2,name__ru,character varying,"Name, languageSchema=ru"
application_obj,3,name__en,character varying,"Name, languageSchema=en"
application_obj,4,name,character varying,Name
application_obj,5,create_date,timestamp without time zone,Create date
application_obj,6,type_id,bigint,Тип объекта
application_obj,7,status,smallint,Status
application_obj,8,org_id,bigint,Подразделение
application_obj,9,user_id,bigint,Пользователь
application_obj,10,last_modified_date,timestamp without time zone,Last modified date
application_obj,11,last_modified_user_id,bigint,"Пользователь, внесший последние изменения"
